╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
дjл░╢m,дgжa,дjл░мq901~930жa╕╣,99.0,жэ,,,1060308,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,625000,6313,,0.0,0,,RPPNMLLLLHMFFGN88CA
дGкL┬э,й╨жa(дgжa+л╪кл),╣№д╞┐ддGкL┬эдG╖╦╕ЇдCмq481~510╕╣,86.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060224,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0660715,116.93,3,1,2,ж│,╡L,3000000,25656,,0.0,0,,RPPNMLPLLHMFFGN66CA
к┌нb╢m,дgжa,д¤е\мq301~330жa╕╣,1325.67,,д@пы╣A╖~░╧,╣Aкке╬жa,1060215,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1300000,981,,0.0,0,,RPVNMLSLLHMFFGN57CA
╖╦┤Є┬э,й╨жa(дgжa+л╪кл),╣№д╞┐д╖╦┤Є┬эе░╣A╕Ї61~90╕╣,80.0,жэ,,,1060223,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0840415,214.65,3,2,2,ж│,╡L,6500000,30282,,0.0,0,,RPRNMLRKLHMFFHN07CA
оH╞Q╢m,дgжa,е├йўмq1381~1410жa╕╣,686.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060302,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2000000,2915,,0.0,0,,RPSNMLKLLHMFFHN56CA
оH╞Q╢m,й╨жa(дgжa+л╪кл),╣№д╞┐д╖╦┤Є┬эжnкў╕Ї1~30╕╣,104.75,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1060227,дgжa2л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1050909,316.54,3,2,2,ж│,╡L,6500000,20535,,0.0,0,,RPSNMLTLLHMFFHN47CA
кт╢щ╢m,дgжa,╖мз|мq241~270жa╕╣,6345.72,,дsйYжaлOи|░╧,╣Aкке╬жa,1060217,дgжa4л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,8000000,1261,,0.0,0,,RPPNMLSKLHMFFAN98DA
е╨з└╢m,дgжa,е┴е═мq1201~1230жa╕╣,150.53,жэ,,,1060216,дgжa7л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1366000,9075,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPSNMLRKLHMFFFN07DA
дGкL┬э,дgжa,▓p└Yнэмq61~90жa╕╣,438.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,630000,1438,,0.0,0,,RPUNMLQKLHMFFGN27DA
н√кL┬э,дgжa,┬э┐│мq751~780жa╕╣,63.86,╣A,,,1060302,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,482900,7562,,0.0,0,ж@ж│дgжaбC,RPVNMLQKLHMFFDN96CA
н√кL┬э,дgжa,дjоHмq31~60жa╕╣,1227.82,,пSйw╣A╖~░╧,╣Aкке╬жa,1060202,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,6500000,5294,,0.0,0,,RPQNMLPLLHMFFDN09CA
е├╣t╢m,й╨жa(дgжa+л╪кл),╣№д╞┐де├╣t╢mдддs╕Їд@мq241л╤14з╦1~30╕╣,91.23,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1060220,дgжa2л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0690717,83.94,2,2,2,ж│,╡L,4150000,49440,,0.0,0,,RPPNMLKMLHMFFDN58CA
║╓┐│╢m,й╨жa(дgжa+л╪кл),╣№д╞┐д║╓┐│╢mдTиX╡є1~30╕╣,101.55,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060109,дgжa3л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0920901,167.45,6,2,4,ж│,╡L,4800000,28665,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPOOMLOLLHMFFCN78CA
│└┤ф┬э,дgжa,дWкLмq91~120жa╕╣,449.17,,дu╖~░╧,дB║╪л╪┐vе╬жa,1060307,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2785000,6200,,0.0,0,ит╡здgжaм░╣D╕Їи╧е╬бC,RPSNMLLMLHMFFCN88CA
│└┤ф┬э,дgжa,дWкLмq91~120жa╕╣,449.17,,дu╖~░╧,дB║╪л╪┐vе╬жa,1060307,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2785000,6200,,0.0,0,ит╡здgжaм░╣D╕Їи╧е╬бC,RPTNMLLMLHMFFCN98CA
│└┤ф┬э,дgжa,е├║╓мq601~630жa╕╣,36.9,ифеL,,,1060316,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,619920,16800,,0.0,0,,RPUNMLPJMHMFFCN66CA
│└┤ф┬э,дgжa,е├║╓мq601~630жa╕╣,82.14,ифеL,,,1060316,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1379952,16800,,0.0,0,,RPVNMLPJMHMFFCN76CA
н√кL┬э,дgжa,╛Ї╖Rмq181~210жa╕╣,80.22,ифеL,,,1060220,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,500000,6233,,0.0,0,д╜ж@│]мIлOпdжa,RPXNMLQJMHMFFDN17CA
дjз°╢m,й╨жa(дgжa+л╪кл),╣№д╞┐ддjз°╢mдs╕}╕Ї31~60╕╣,70.02,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060223,дgжa4л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0960725,145.71,5,2,3,ж│,╡L,4900000,33628,,0.0,0,,RPOOMLMKMHMFFDN68CA
к└└Y╢m,й╨жa(дgжa+л╪кл),╣№д╞┐дк└└Y╢mй╛з╡дG╕Ї27л╤31~60╕╣,118.94,жэ,,,1040501,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1051128,150.53,5,2,3,ж│,╡L,6760000,44908,,0.0,0,,RPQNMLRKLHMFFEN66CA
к└└Y╢m,й╨жa(дgжa+л╪кл),╣№д╞┐дк└└Y╢mй╛з╡дG╕Ї31~60╕╣,103.39,жэ,,,1040116,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1051128,181.06,4,2,4,ж│,╡L,8800000,48603,,0.0,0,,RPRNMLRKLHMFFEN76CA
к└└Y╢m,й╨жa(дgжa+л╪кл),╣№д╞┐дк└└Y╢mй╛з╡дG╕Ї31~60╕╣,88.39,жэ,,,1040131,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1051128,181.06,5,2,5,ж│,╡L,8600000,47498,,0.0,0,,RPSNMLRKLHMFFEN86CA
к└└Y╢m,й╨жa(дgжa+л╪кл),╣№д╞┐дк└└Y╢mй╛з╡дG╕Ї31~60╕╣,88.39,жэ,,,1040526,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1051128,181.06,5,2,4,ж│,╡L,8250000,45565,,0.0,0,,RPVNMLRKLHMFFEN17CA
к└└Y╢m,й╨жa(дgжa+л╪кл),╣№д╞┐дк└└Y╢mй╛з╡дG╕Ї31~60╕╣,88.39,жэ,,,00001,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1051128,181.06,5,2,4,ж│,╡L,8800000,48603,,0.0,0,,RPWNMLRKLHMFFEN27CA
к└└Y╢m,й╨жa(дgжa+л╪кл),╣№д╞┐дк└└Y╢mй╛з╡дG╕Ї31~60╕╣,110.34,жэ,,,1040109,дgжa4л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1051128,181.06,5,2,4,ж│,╡L,8800000,48603,,0.0,0,,RPXNMLRKLHMFFEN37CA
╣№д╞ел,й╨жa(дgжa+л╪кл),╣№д╞┐д╣№д╞елй╡ен╕Ї586л╤23з╦1~30╕╣,93.0,жэ,,,1060226,дgжa4л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0941116,193.15,4,2,3,ж│,╡L,12000000,62128,,0.0,0,,RPSNMLKLLHMFFAN48CA
╣№д╞ел,й╨жa(дgжa+л╪кл),╣№д╞┐д╣№д╞елдддs╕ЇдGмq874л╤31~60╕╣,21.15,жэ,,,1060301,дgжa1л╪кл1иожь0,дG╝h,дK╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0840116,115.24,3,2,2,ж│,╡L,3300000,28636,,0.0,0,,RPTNMLMLLHMFFAN78CA
╣№д╞ел,дgжa,д√╕Yдlмqдs╕}дpмq121~150жa╕╣,519.0,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1060123,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,15700000,30250,,0.0,0,┐╦д═й╬ифеLпSоэ├ЎлY╢бдзецйЎбC┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPUOMLPJMHMFFAN56CA
ж∙┤ф╢m,дgжa,е├╝yмq1291~1320жa╕╣,885.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060215,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3100000,3503,,0.0,0,,RPUNMLQKLHMFFBN66CA
йMм№┬э,й╨жa(дgжa+л╪кл),╣№д╞┐дйMм№┬экFе·╕Ї222л╤1~30╕╣,84.81,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060101,дgжa5л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050922,200.1,5,3,2,ж│,ж│,9100000,45477,,0.0,0,,RPRNMLLLLHMFFBN58CA
йMм№┬э,й╨жa(дgжa+л╪кл),╣№д╞┐дйMм№┬экFе·╕Ї222л╤1~30╕╣,84.81,,╢mз°░╧,дA║╪л╪┐vе╬жa,1051124,дgжa5л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050922,200.1,5,3,2,ж│,ж│,8800000,43978,,0.0,0,,RPSNMLLLLHMFFBN68CA
йMм№┬э,й╨жa(дgжa+л╪кл),╣№д╞┐дйMм№┬экFе·╕Ї222л╤1~30╕╣,84.81,,╢mз°░╧,дA║╪л╪┐vе╬жa,1051124,дgжa5л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050922,200.1,5,3,2,ж│,╡L,8800000,43978,,0.0,0,,RPTNMLLLLHMFFBN78CA
│└┤ф┬э,дgжa,│└╗ямq1261~1290жa╕╣,1712.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060303,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,7361600,4300,,0.0,0,,RPPNMLKLLHMFFCN38CA
║╓┐│╢m,дgжa,е~ддмq631~660жa╕╣,1960.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060219,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,7100000,3622,,0.0,0,,RPRNMLLLLHMFFCN68CA
│└┤ф┬э,дgжa,кFк@мq511~540жa╕╣,1789.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060208,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,13800000,7714,,0.0,0,ецйЎзtе╝╡n░Oл╪кл,RPUNMLLLLHMFFCN98CA
│└┤ф┬э,й╨жa(дgжa+л╪кл),╣№д╞┐д│└┤ф┬эо№й·╡є130л╤31~60╕╣,91.94,,д@пы╣A╖~░╧,╛i┤▐е╬жa,1060221,дgжa1л╪кл1иожь0,д@╝hбAдG╝hбAдT╝h,дT╝h,╣Aк┘,╣Aк┘,┐√╡м▓V╛одg│y,0860414,162.36,4,2,3,ж│,╡L,4100000,,,0.0,0,,RPXNMLLLLHMFFCN66CA
║╓┐│╢m,дgжa,дхйўмq1921~1950жa╕╣,2875.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060220,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,8800000,3061,,0.0,0,,RPTNMLLLLHMFFCN88CA
ж∙┤ф╢m,дgжa,е├╝yмq781~810жa╕╣,129.42,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060215,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3450000,26657,,0.0,0,,RPVNMLKLLHMFFBN88CA
ж∙┤ф╢m,л╪кл,╣№д╞┐дж∙┤ф╢mдд╡╪╕Ї893л╤1~30╕╣,0.0,,,,1060215,дgжa0л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050421,139.76,5,1,3,ж│,╡L,2750000,19677,,0.0,0,,RPWNMLKLLHMFFBN98CA
йMм№┬э,дgжa,╣┼╝yмq181~210жa╕╣,987.74,╣A,,,1060210,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,5677050,5748,,0.0,0,,RPPNMLLLLHMFFBN38CA
╣№д╞ел,дgжa,дjоHмq361~390жa╕╣,127.87,жэ,,,1060307,дgжa4л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,12000000,93845,,0.0,0,,RPTOMLPJMHMFFAN09CA
╣№д╞ел,дgжa,ж╦л╤мq751~780жa╕╣,67.69,,пSйw╣A╖~░╧,╣Aкке╬жa,1051205,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,350000,5171,,0.0,0,1.жVмFй▓╛ў├Ўй╙┴╩дзо╫еєбC,RPPNMLRJMHMFFAN78CA
╣№д╞ел,й╨жa(дgжa+л╪кл)+иожь,╣№д╞┐д╣№д╞ел├ун╫е_╕Ї167л╤61~90╕╣,20.59,жэ,,,1060208,дgжa1л╪кл1иожь1,д╗╝h,дQд@╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0970710,153.94,3,2,2,ж│,ж│,8200000,53268,йY╣Dенн▒,0.0,0,,RPPOMLMLLHMFFAN48CA
╣№д╞ел,й╨жa(дgжa+л╪кл),╣№д╞┐д╣№д╞елдT║╓╡є233л╤1~30╕╣,85.64,жэ,,,1060220,дgжa2л╪кл1иожь0,е■,дн╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040520,253.54,4,2,4,ж│,ж│,16500000,65078,,0.0,0,,RPPNMLOLLHMFFAN58CA
╣№д╞ел,й╨жa(дgжa+л╪кл),╣№д╞┐д╣№д╞ел╣№пє╕Ї443л╤1~30╕╣,89.01,жэ,,,1060218,дgжa1л╪кл1иожь0,е■,д@╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0650202,76.61,4,3,3,ж│,╡L,5600000,73098,,0.0,0,,RPPOMLOLLHMFFAN68CA
╣№д╞ел,й╨жa(дgжa+л╪кл),╣№д╞┐д╣№д╞ел╣№йM╕Їд@мq13л╤1~30╕╣,78.0,жэ,,,1060216,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0651123,112.05,4,2,3,ж│,╡L,6500000,58010,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPWNMLSLLHMFFAN07CA
╣№д╞ел,й╨жa(дgжa+л╪кл)+иожь,╣№д╞┐д╣№д╞ел┤║йv╡є40л╤1~30╕╣,18.83,жэ,,,1060219,дgжa3л╪кл1иожь1,дC╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√░й┐√╡м▓V╛одg│y,0830112,153.60999999999999,3,2,2,ж│,ж│,4160000,27082,йY╣Dенн▒,0.0,0,,RPOOMLSLLHMFFAN98CA
к└└Y╢m,дgжa,лO╛дмq811~840жa╕╣,0.16,░╙,,,1060306,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,9680,0,,0.0,0,,RPQNMLOLLHMFFEN09CA
е├╣t╢m,дgжa,е├ддмq271~300жa╕╣,10.66,жэ,,,1060222,дgжa6л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,241800,22683,,0.0,0,╣D╕Їе╬жaе]мAжb╢R╜ц╜d│Єд║бAдгнp║т╗∙кўбC,RPTOMLMKMHMFFDN56CA
е├╣t╢m,дgжa,е├ддмq271~300жa╕╣,31.97,жэ,,,1060222,дgжa6л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,725400,22690,,0.0,0,╣D╕Їе╬жaе]мAжb╢R╜ц╜d│Єд║бAдгнp║т╗∙кўбC,RPUOMLMKMHMFFDN66CA
е├╣t╢m,дgжa,е├ддмq271~300жa╕╣,35.52,жэ,,,1060222,дgжa6л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,743760,20939,,0.0,0,╣D╕Їе╬жaе]мAжb╢R╜ц╜d│Єд║бAдгнp║т╗∙кўбC,RPVOMLMKMHMFFDN76CA
н√кL┬э,дgжa,жaмFмq271~300жa╕╣,378.0,дu,,,1060217,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,33184596,87790,,0.0,0,,RPTNMLOKMHMFFDN66CA
н√кL┬э,й╨жa(дgжa+л╪кл),╣№д╞┐дн√кLелн√дj╕Їд@мq188л╤21з╦1~30╕╣,66.41,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060309,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0621205,86.0,4,2,3,ж│,╡L,2500000,29070,,0.0,0,,RPQNMLPJMHMFFDN98CA
│└┤ф┬э,й╨жa(дgжa+л╪кл),╣№д╞┐д│└┤ф┬э╖sнэл╤1~30╕╣,166.54,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060217,дgжa2л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060110,209.47,5,2,3,ж│,╡L,6600000,31508,,0.0,0,│╞╡∙бGе╝┐ьлOжs╡n░Oдзл╪┐v│бд└д@и╓▓╛┬рбC,RPSNMLRKLHMFFCN66CA
║╓┐│╢m,дgжa,╖sе═мq1471~1500жa╕╣,500.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060215,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2000000,4000,,0.0,0,,RPWNMLLMLHMFFCN66CA
│└┤ф┬э,дgжa,е├жwмq661~690жa╕╣,1720.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060208,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,9365400,5445,,0.0,0,,RPUNMLNLLHMFFCN56CA
│└┤ф┬э,й╨жa(дgжa+л╪кл),╣№д╞┐д│└┤ф┬эж│?╡є14л╤1~30╕╣,104.02,жэ,,,1060213,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0831004,174.3,6,2,6,ж│,╡L,7360000,42226,,0.0,0,,RPRNMLKLMHMFFCN68CA
дjз°╢m,й╨жa(дgжa+л╪кл),╣№д╞┐ддjз°╢mн√дj╕Ї13л╤1~30╕╣,353.61,дu,,,1060306,дgжa2л╪кл1иожь0,д@╝hбAдG╝hбAдT╝hбAигифеL╡n░Oи╞╢╡,дT╝h,╝t┐ь,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050711,526.47,3,3,3,ж│,╡L,34300000,65151,,0.0,0,,RPUNMLTLLHMFFDN27CA
дjз°╢m,й╨жa(дgжa+л╪кл),╣№д╞┐ддjз°╢mн√дj╕Ї13л╤1~30╕╣,562.32,дu,,,1060306,дgжa2л╪кл1иожь0,д@╝hбAдG╝hбAдT╝hбAигифеL╡n░Oи╞╢╡,дT╝h,╝t┐ь,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050711,507.44,3,3,3,ж│,╡L,37600000,74097,,0.0,0,,RPWNMLTLLHMFFDN47CA
н√кL┬э,дgжa,┬╫ж~мq1021~1050жa╕╣,157.27,жэ,,,1060209,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,11179000,71082,,0.0,0,,RPRNMLRLLHMFFDN76CA
дjз°╢m,дgжa,дWм№мq151~180жa╕╣,205.97,,пSйw╣A╖~░╧,╣Aкке╬жa,1051231,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,809900,3932,,0.0,0,,RPROMLMLLHMFFDN98CA
дjз°╢m,дgжa,░^║Xмq661~690жa╕╣,78.54,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1450000,18462,,0.0,0,,RPPNMLLLLHMFFDN58CA
