╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
и╜┤ф╢m,й╨жa(дgжa+л╪кл),л╠кF┐ди╜┤ф╢mнX╨д╕Ї1~30╕╣,5066.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1060104,дgжa1л╪кл1иожь0,игифеL╡n░Oи╞╢╡,д@╝h,ифеL,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,0921105,3259.39,0,0,0,╡L,╡L,21000000,6443,,0.0,0,,RPVNMLLLLHMFFBT96CA
░к╛Ё╢m,дgжa,е[╙┬оHмq481~510жa╕╣,5097.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1060224,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,5800000,1138,,0.0,0,,RPWNMLMLLHMFFBT17CA
░к╛Ё╢m,дgжa,е[╙┬оHмq541~570жa╕╣,86.86,,д@пы╣A╖~░╧,╣Aкке╬жa,1060224,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,656750,7561,,0.0,0,│qжц╣D╕Ї,RPXNMLMLLHMFFBT27CA
и╜┤ф╢m,дgжa,╖sдgоwмqб@1~30жa╕╣,87.18,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060308,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,700000,8029,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPSNMLLLLHMFFBT66CA
fa72оH╢m,дgжa,░ко╘мq1~30жa╕╣,550.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1060213,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,950000,1727,,0.0,0,,RPPNMLTLLHMFFBT17CA
╝щж{┬э,й╨жa(дgжa+л╪кл),л╠кF┐д╝щж{┬эи|н^╕Ї121~150╕╣,77.8,░╙,,,1060218,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одgе[▒j┐j│y,0650604,93.98,3,4,1,ж│,╡L,3020000,32134,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPWNMLQKLHMFFCT57CA
╝щж{┬э,дgжa,▒[кFмq31~60жa╕╣,3141.41,,д@пы╣A╖~░╧,╣Aкке╬жa,1060307,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4306000,1371,,0.0,0,,RPVOMLRKLHMFFCT67CA
╝щж{┬э,дgжa,┤IмKмq1141~1170жa╕╣,632.32,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060303,дgжa4л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,9946500,15730,,0.0,0,,RPOPMLRKLHMFFCT07CA
дTжaк∙╢m,дgжa,дTжaмq1~30жa╕╣,16566.67,,дsйYжaлOи|░╧,кL╖~е╬жa,1060302,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,550000,33,,0.0,0,кL╖~е╬жa,RPPNMLPJMHMFFBT66CA
д║оH╢m,дgжa,жнидмq241~270жa╕╣,214.04,,д@пы╣A╖~░╧,╣Aкке╬жa,1060116,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,130000,607,,0.0,0,,RPQOMLLLLHMFFCT66CA
д║оH╢m,дgжa,дWкF╢╒мq541~570жa╕╣,6321.46,,пSйw╣A╖~░╧,╣Aкке╬жa,1060117,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,11092800,1755,,0.0,0,йш╢Oжa╝╨░т,RPSNMLKMLHMFFCT76CA
╕Uдж╢m,дgжa,▒[│╗мq2371~2400жa╕╣,34.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,88400,2600,,0.0,0,,RPPNMLKLLHMFFAT78CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFел╝sкF╕Ї1510л╤1~30╕╣,68.0,жэ,,,1060218,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0770427,91.2,4,2,2,ж│,╡L,3400000,37281,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPQNMLKLLHMFFAT88CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFеле╨ддл╤1~30╕╣,12.64,жэ,,,1060224,дgжa1л╪кл1иожь0,дT╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0841125,67.63,2,2,1,ж│,ж│,1980000,29277,,0.0,0,,RPXNMLKLLHMFFAT96CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFел▓°╖q╡єдGмq1~30╕╣,15.53,жэ,,,1060306,дgжa1л╪кл1иожь0,дC╝h,дC╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0810213,86.91,2,1,2,ж│,ж│,2500000,28765,,0.0,0,,RPROMLKLLHMFFAT09CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFел╝sкF╕Ї961~990╕╣,13.4,жэ,,,1060302,дgжa1л╪кл1иожь0,дQдG╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0821204,85.07,2,2,1,ж│,ж│,2270000,26684,,0.0,0,,RPSOMLKLLHMFFAT56CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFел▓°╖q╡єдGмq113л╤1~30╕╣,19.68,жэ,,,1060125,дgжa1л╪кл1иожь0,дQд@╝h,дQдT╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0860113,116.4,3,2,2,ж│,ж│,3250000,27921,,0.0,0,,RPUOMLLLLHMFFAT86CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFел┬╫е╨и╜е┴╛╟╕Ї16л╤31~60╕╣,39.99,жэ,,,1060303,дgжa1л╪кл1иожь0,д@╝hбAдG╝hбAдT╝hбAе|╝hбAдн╝hбAжaдU╝h,,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),░ъе┴жэжv,┐√╡м▓V╛одg│y,0710717,1535.17,3,2,2,ж│,╡L,3300000,2150,,0.0,0,,RPRPMLNLLHMFFAT86CA
к°кv╢m,дgжa,╡fдl╝dмq1321~1350жa╕╣,329.18,,д@пы╣A╖~░╧,╣Aкке╬жa,1060307,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,370000,1124,,0.0,0,,RPOQMLNLLHMFFAT66CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFелжи│г╡є25л╤1~30╕╣,73.19,жэ,,,1060221,дgжa3л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040507,193.24,5,2,4,ж│,╡L,8380000,43366,,0.0,0,,RPPNMLQLLHMFFAT76CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFел╝sкF╕Ї1500л╤2з╦61~90╕╣,99.78,жэ,,,1060125,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1030516,169.4,5,2,3,ж│,╡L,8880000,52420,,0.0,0,,RPVNMLRLLHMFFAT47CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFел┬k┬зл╤181~210╕╣,280.09,,д@пы╣A╖~░╧,пSйwе╪к║и╞╖~е╬жa,1060306,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0950509,330.71,4,2,3,ж│,╡L,7360000,22255,,0.0,0,,RPVNMLSLLHMFFAT57CA
╕Uдж╢m,й╨жa(дgжa+л╪кл),л╠кF┐д╕Uдж╢mдж║a╕Ї161л╤1~30╕╣,122.16,жэ,,,1060223,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1030728,197.03,6,2,3,ж│,╡L,9000000,45678,,0.0,0,,RPTNMLTLLHMFFAT47CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFелкL┤╦╕ЇкFмq31~60╕╣,130.0,жэ,,,1060202,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1041216,218.42,4,2,4,ж│,╡L,11500000,52651,,0.0,0,,RPTNMLKMLHMFFAT66CA
л╠кF╔],дgжa,дj│sмq241~270жa╕╣,30.0,жэ,,,1060304,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,630000,21000,,0.0,0,,RPQNMLQJMHMFFAT76CA
╕Uдж╢m,дgжa,─_нэмq271~300жa╕╣,3.0,╣A,,,1060224,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,13080,4360,,0.0,0,жVмFй▓╛ў├Ўй╙┴╩дзо╫еєбC,RPSNMLKLLHMFFAT56DA
л╠кF╔],дgжa,╝s┐│мq541~570жa╕╣,49.49,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060221,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,710000,14346,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбCзt╝Wл╪й╬е╝╡n░Oл╪клбC,RPQQMLNLLHMFFAT96DA
лэмK┬э,дgжa,дЇмuмq151~180жa╕╣,1923.0,,░ъоaд╜╢щ░╧,,1060306,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3000000,1560,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPUNMLRKLHMFFET67CA
лэмK┬э,дgжa,лс╛└┤Ємq511~540жa╕╣,149.44,,░ъоaд╜╢щ░╧,,1060306,дgжa4л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,600000,4015,,0.0,0,,RPSNMLSLLHMFFET67CA
лэмK┬э,й╨жa(дgжa+л╪кл),л╠кF┐длэмK┬э?лn╕Ї194л╤1~30╕╣,71.69,жэ,,,1060225,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одgе[▒j┐j│y,0680829,99.2,4,2,3,ж│,╡L,4700000,47379,,0.0,0,,RPRNMLQJMHMFFET27CA
д║оH╢m,дgжa,└sмuмq1~30жa╕╣,14.0,,,,1051114,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,15000,1071,,0.0,0,╗P╛FжaжXи╓,RPWNMLKKMHMFFCT07CA
кF┤ф┬э,дgжa,дjкFмq781~810жa╕╣,35.86,жэ,,,1060308,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,891000,24847,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPQNMLQKLHMFFDT07CA
кF┤ф┬э,дgжa,дjкFмq1471~1500жa╕╣,438.99,жэ,,,1060307,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,19918500,45373,,0.0,0,,RPRNMLQKLHMFFDT17CA
кF┤ф┬э,дgжa,кF┤фмq61~90жa╕╣,78.9,жэ,,,1060215,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2650000,33587,,0.0,0,,RPQNMLRKLHMFFDT17CA
кF┤ф┬э,дgжa,╣┼лnмq241~270жa╕╣,30.3,жэ,,,1060218,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,270000,8911,,0.0,0,,RPXNMLRKLHMFFDT87CA
кF┤ф┬э,дgжa,╣┼лnмq241~270жa╕╣,26.06,жэ,,,1060218,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,230000,8826,,0.0,0,,RPOOMLRKLHMFFDT07CA
кF┤ф┬э,дgжa,╣┼лnмq241~270жa╕╣,27.96,жэ,,,1060218,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,250000,8941,,0.0,0,,RPPOMLRKLHMFFDT17CA
кF┤ф┬э,дgжa,╣┼лnмq241~270жa╕╣,21.12,жэ,,,1060218,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,190000,8996,,0.0,0,,RPQOMLRKLHMFFDT27CA
лnж{╢m,й╨жa(дgжa+л╪кл),л╠кF┐длnж{╢mдHйM╕Ї91~120╕╣,227.08,░╙,,,1060301,дgжa3л╪кл1иожь0,е■,д@╝h,│zд╤нэ,жэжv,игифеL╡n░Oи╞╢╡,0560815,168.16,1,1,1,ж│,╡L,4920000,29258,,0.0,0,,RPTNMLKLLHMFFDT86CA
кF┤ф┬э,й╨жa(дgжa+л╪кл),л╠кF┐дкF┤ф┬э╖s┐│д@╡є81л╤1~30╕╣,97.82,жэ,,,1060208,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэжv,┐√╡м▓V╛одg│y,0930531,181.71,5,1,3,ж│,╡L,4000000,22013,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPRNMLOLLHMFFDT07CA
кF┤ф┬э,дgжa,╣┼╖sмq211~240жa╕╣,59.58,╣A,,,1060127,дgжa5л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,550000,9231,,0.0,0,,RPWNMLLMLHMFFDT37CA
оr│╗╢m,дgжa,│╗дпмq1291~1320жa╕╣,331.0,╣A,,,1060220,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,900000,2719,,0.0,0,,RPTNMLQJMHMFFDT37CA
╝щж{┬э,л╪кл,л╠кF┐д╝щж{┬э╢}д╕╕Ї31~60╕╣,0.0,,,,1060308,дgжa0л╪кл1иожь0,д@╝h,д@╝h,ифеL,жэоaе╬,иги╧е╬░ї╖╙,0570115,190.78,4,1,1,ж│,╡L,21900,115,,0.0,0,дTжX░|енй╨┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPUNMLTLLHMFFCT87DA
║бж{╢m,дgжa,┤фдfмq331~360жa╕╣,449.0,,░ъоaд╜╢щ░╧,,1060216,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,11225,25,,0.0,0,жVмFй▓╛ў├Ўй╙┴╩дзо╫еєбC,RPRNMLRKLHMFFET47DA
и╬еV╢m,дgжa,е█е·мq1141~1170жa╕╣,262.38,жэ,,,1060220,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1600000,6098,,0.0,0,,RPSNMLKLLHMFFFT07DA
╖s╢щ╢m,й╨жa(дgжa+л╪кл),л╠кF┐д╖s╢щ╢m└s╣╪╕Ї91~120╕╣,139.29,жэ,,,1060221,дgжa3л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэжv,┐√╡м▓V╛одg│y,0630401,207.36,4,3,2,ж│,╡L,2380000,11478,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбCзt╝Wл╪й╬е╝╡n░Oл╪клбC,RPWNMLQJMHMFFDT77DA
╖s╢щ╢m,дgжa,╖sжNмq2251~2280жa╕╣,154.62,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060307,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,500000,3234,,0.0,0,,RPQNMLKLLHMFFDT66DA
╕Uдж╢m,й╨жa(дgжa+л╪кл),л╠кF┐д╕Uдж╢m╕U║a╡є61~90╕╣,97.0,жэ,,,1051219,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0710628,175.96,3,1,2,ж│,╡L,5400000,30689,,0.0,0,,RPTOMLNKMHMFFAT07DA
л╠кF╔],иожь,л╠кF┐дл╠кFел╛ў│їе_╕Ї721~750╕╣,0.0,,,,1060307,дgжa0л╪кл0иожь1,,,ифеL,,,,24.01,0,0,0,ж│,ж│,500000,,йY╣Dенн▒,24.01,500000,,RPPNMLRKMHMFFAT96DA
д║оH╢m,дgжa,дWкF╢╒мq331~360жa╕╣,2531.79,,пSйw╣A╖~░╧,╣Aкке╬жa,1060310,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4958880,1959,,0.0,0,йш╢Oжa╝╨░т,RPPNMLKLLHMFFCT09DA
╕U┼r╢m,дgжa,дjкLмq631~660жa╕╣,767.92,,д@пы╣A╖~░╧,╣Aкке╬жa,1060221,дgжa4л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,552904,720,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPOOMLKLLHMFFCT09DA
кL├ф╢m,дgжa,дпйMмq211~240жa╕╣,186.85,жэ,,,1060206,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,5300000,28365,,0.0,0,(е]зt)╣D╕Їе╬жaдзецйЎбC,RPQNMLOLLHMFFDT96CA
кF┤ф┬э,й╨жa(дgжa+л╪кл),л╠кF┐дкF┤ф┬э╣┼╜м╕Ї241~270╕╣,79.72,жэ,,,1060309,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэжv,┐√╡м▓V╛одg│y,0720220,102.61,4,2,2,ж│,╡L,5000000,48728,,0.0,0,,RPTNMLLLLHMFFDT96CA
лэмK┬э,й╨жa(дgжa+л╪кл),л╠кF┐длэмK┬э?лn╕Ї125л╤31~60╕╣,8.3,жэ,,,1060309,дgжa1л╪кл1иожь0,дG╝h,д╗╝h,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0821126,22.81,1,1,1,ж│,╡L,680000,29811,,0.0,0,,RPRNMLMLLHMFFET96CA
лэмK┬э,дgжa,дЇмuмq391~420жa╕╣,209.0,,░ъоaд╜╢щ░╧,,1060306,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,500000,2392,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPPNMLQLLHMFFET17CA
л╠кF╔],дgжa,е_┐│мq1~30жa╕╣,619.08,жэ,,,1060306,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,21504982,34737,,0.0,0,,RPVOMLLLLHMFFAT07DA
л╠кF╔],дgжa,е_╢╒мq181~210жa╕╣,5.0,жэ,,,1060313,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,68500,13700,,0.0,0,,RPPOMLRKLHMFFAT96DA
л╠кF╔],дgжa,▓M╖╦мq631~660жa╕╣,1955.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060311,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,7200000,3683,,0.0,0,,RPQNMLLMLHMFFAT56DA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFелкZжи╡є61~90╕╣,110.76,жэ,,,1060217,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1050826,217.04,4,2,5,ж│,╡L,13980000,64412,,0.0,0,,RPWOMLRJMHMFFAT57CA
┼яме╢m,дgжa,╣A│їмq691~720жa╕╣,1156.91,,д@пы╣A╖~░╧,╣Aкке╬жa,1060118,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2750000,2377,,0.0,0,,RPXOMLRJMHMFFAT67CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFел▓M╢iл╤211~240╕╣,98.12,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1060216,дgжa2л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0850110,271.76,4,2,4,ж│,╡L,4800000,17663,,0.0,0,,RPTOMLMKMHMFFAT86CA
л╠кF╔],дgжa,╖г╛Ё╕}мqд@дpмq31~60жa╕╣,15.29,░╙,,,1060301,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1600000,104644,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPSPMLLLLHMFFAT76CA
╕Uдж╢m,дgжa,к└дWмq481~510жa╕╣,984.1,,пSйw╣A╖~░╧,╣Aкке╬жa,1060308,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4600000,4674,,0.0,0,,RPQOMLMLLHMFFAT56CA
╕Uдж╢m,дgжa,▒[│╗мq2191~2220жa╕╣,350.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060217,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3500000,10000,,0.0,0,,RPXPMLMLLHMFFAT37CA
