¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
²H¤ô°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«²H¤ô°Ï·s¥«¤@¸ô¤@¬q121~150¸¹,46.02,¦í,,,1051205,¤g¦a1«Øª«1¨®¦ì3,¤@¼h¡A¨£¨ä¥Lµn°O¨Æ¶µ,¤G¤Q¼h,©±­±(©±¾Q),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1051020,413.07,0,0,0,µL,¦³,58530000,168193,©Y¹D¥­­±,84.4,3250000,,RPOPMLPJNHMFFEF38CA
·s©±°Ï,¨®¦ì,·s¥_¥«·s©±°Ï¦w©M¸ô¤@¬q1~30¸¹,0.54,¦í,,,1051227,¤g¦a0«Øª«0¨®¦ì1,,,¨ä¥L,,,,35.19,0,0,0,¦³,¦³,1900000,,©Y¹D¥­­±,35.19,1900000,,RPRNMLSLMHMFFCF68CA
²`§|°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«²`§|°Ï¥_²`¸ô¤T¬q331~360¸¹,8.96,¦í,,,1051223,¤g¦a2«Øª«1¨®¦ì0,¤»¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0850601,101.16,3,2,2,¦³,¦³,8200000,81060,,0.0,0,,RPPNMLSJNHMFFCF58EA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªO¾ô°ÏµØªFµó241~270¸¹,21.67,¦í,,,1051201,¤g¦a2«Øª«1¨®¦ì1,¤Q¤K¼h,¤G¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1031003,255.48000000000002,3,2,2,¦³,¦³,36500000,151883,©Y¹D¥­­±,32.94,2700000,,RPSPMLMJNHMFFAF28EA
·s©±°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«·s©±°Ï«Ø°ê¸ô211~240¸¹,34.66,¦í,,,1060113,¤g¦a1«Øª«1¨®¦ì0,¤@¼h¡AÃM¼Ó,¤­¼h,©±­±(©±¾Q),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,0691110,95.1,0,0,0,µL,µL,24380000,256362,,0.0,0,¨ü¶ÅÅv¶Å°È¼vÅT©Î¶Å°È©èÀv¤§¥æ©ö¡C¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPSNMLSLMHMFFCF78CA
¤T­«°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¤T­«°Ï¤¤µØ¸ô31~60¸¹,9.21,¦í,,,1051128,¤g¦a4«Øª«1¨®¦ì1,¤Q¤K¼h,¤G¤Q¤@¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0850802,139.78,3,2,2,¦³,¦³,13000000,93003,¤É­°¾÷±ñ,24.84,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPOPMLLJNHMFFGF18CA
¤­ªÑ°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤­ªÑ°Ï¦Û±j¸ô61~90¸¹,35.01,¦í,,,1051024,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,¤»¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1020318,137.66,3,2,2,¦³,¦³,8240000,59858,,0.0,0,ªÑªF¶¡¥æ©ö,RPRNMLKKNHMFFBF87DA
¤­ªÑ°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤­ªÑ°Ï¦Û±j¸ô61~90¸¹,35.01,¦í,,,1051024,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,¤»¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1020318,137.66,3,2,2,¦³,¦³,8240000,59858,,0.0,0,ªÑªF¶¡¥æ©ö,RPSNMLKKNHMFFBF97DA
·s²ø°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«·s²ø°Ï»Ê¼wµó91~120¸¹,42.9,¦í,,,1051202,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0570501,72.09,5,2,4,¦³,µL,6087400,84442,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPTNMLKKNHMFFBF97CA
¤­ªÑ°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¤­ªÑ°Ï­â¶³¸ô¤@¬q133«Ñ1~30¸¹,25.05,¦í,,,1060118,¤g¦a1«Øª«1¨®¦ì2,¤@¼h¡A¨£¨ä¥Lµn°O¨Æ¶µ,¤Q¤@¼h,©±­±(©±¾Q),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1020114,180.43,0,0,0,µL,¦³,12400000,68725,©Y¹D¥­­±,51.54,0,,RPWNMLSJKHMFFBF68CA
¤T­«°Ï,«Øª«,·s¥_¥«¤T­«°Ï¶°­^¸ô61~90¸¹,0.0,,,,1051216,¤g¦a0«Øª«1¨®¦ì1,¤Q¤T¼h,¤Q¤E¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1040702,221.53,4,2,2,¦³,¦³,8270000,37331,©Y¹D¥­­±,30.0,0,«Ø°Ó»P¦a¥D¦X«Ø®×¡C,RPOOMLNKKHMFFGF08CA
¤T­«°Ï,«Øª«,·s¥_¥«¤T­«°Ï¶°­^¸ô61~90¸¹,0.0,,,,1051202,¤g¦a0«Øª«1¨®¦ì1,¤K¼h,¤Q¤E¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1040702,214.84000000000003,4,2,2,¦³,¦³,7990000,37190,©Y¹D¥­­±,30.0,0,«Ø°Ó»P¦a¥D¦X«Ø®×¡C,RPPOMLNKKHMFFGF18CA
¾ðªL°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¾ðªL°Ï°ê³Íµó136«Ñ30§Ë1~30¸¹,64.19,¦í,,,1060101,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,,104.92,3,2,2,¦³,µL,8200000,78155,,0.0,0,,RPTNMLKKNHMFFIF88EA
·s²ø°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«·s²ø°Ï¥Á¼Öµó31~60¸¹,35.3,¦í,,,1050926,¤g¦a1«Øª«1¨®¦ì1,¤G¼h,¤Q¤T¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0820315,267.7,5,2,2,¦³,¦³,17800000,66492,©Y¹D¥­­±,41.68,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C¤º§t¿W¥ß²£Åv¨®¦ì¡A¥¼¥]§t¦b´É¼Æ¤º¡C¥»®×¨®¦ì­±¿nµLªk©îºâ¡C,RPQOMLLLKHMFFBF67CA
¤­ªÑ°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¤­ªÑ°ÏªÚ¬w¤G¸ô61~90¸¹,26.02,¦í,,,1060104,¤g¦a1«Øª«1¨®¦ì1,¤@¼h¡A¤G¼h,¤Q¥|¼h,©±­±(©±¾Q),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1050929,135.31,0,0,0,µL,µL,13500000,106190,©Y¹D¥­­±,25.13,1800000,,RPTOMLRLMHMFFBF78CA
¤T­«°Ï,«Øª«,·s¥_¥«¤T­«°Ï¶°­^¸ô91~120¸¹,0.0,,,,1051205,¤g¦a0«Øª«1¨®¦ì1,¤K¼h,¤Q¤E¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1040702,222.75,4,2,2,¦³,¦³,8230000,36947,©Y¹D¥­­±,32.09,0,«Ø°Ó»P¦a¥D¦X«Ø®×¡C,RPOOMLOKKHMFFGF18CA
¤T­«°Ï,«Øª«,·s¥_¥«¤T­«°Ï¶°­^¸ô91~120¸¹,0.0,,,,1051205,¤g¦a0«Øª«1¨®¦ì1,¤Q¤C¼h,¤Q¤E¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1040702,222.75,4,2,2,¦³,¦³,8230000,36947,©Y¹D¥­­±,32.09,0,«Ø°Ó»P¦a¥D¦X«Ø®×¡C,RPPOMLOKKHMFFGF28CA
¤T­«°Ï,«Øª«,·s¥_¥«¤T­«°Ï¶°­^¸ô91~120¸¹,0.0,,,,1051205,¤g¦a0«Øª«1¨®¦ì2,¤Q¤K¼h,¤Q¤E¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1040702,254.84,4,2,2,¦³,¦³,8710000,34178,©Y¹D¥­­±,64.18,0,«Ø°Ó»P¦a¥D¦X«Ø®×¡C,RPQOMLOKKHMFFGF38CA
¦Á¤î°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¦Á¤î°Ï¤¯·R¸ô151«Ñ61~90¸¹,22.23,¦í,,,1060116,¤g¦a2«Øª«1¨®¦ì1,¤Q¤C¼h,¤Q¤E¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0980515,193.26,4,2,2,¦³,¦³,16000000,82790,©Y¹D¥­­±,40.97,0,,RPTNMLRLMHMFFDF88CA
·s²ø°Ï,¤g¦a,¿³¤Æ¬q241~270¦a¸¹,60.9,¤u,,,1060120,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,18420000,302463,,0.0,0,,RPUQMLQKKHMFFBF68CA
·s²ø°Ï,¤g¦a,¿³¤Æ¬q241~270¦a¸¹,6.09,¤u,,,1060120,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1842000,302463,,0.0,0,,RPVQMLQKKHMFFBF78CA
·s²ø°Ï,¤g¦a,¿³¤Æ¬q241~270¦a¸¹,6.09,¤u,,,1060120,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1842000,302463,,0.0,0,,RPRRMLQKKHMFFBF48CA
·s²ø°Ï,¤g¦a,¿³¤Æ¬q241~270¦a¸¹,36.54,¤u,,,1060120,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,11052000,302463,,0.0,0,,RPXRMLQKKHMFFBF09CA
·s²ø°Ï,¤g¦a,¿³¤Æ¬q241~270¦a¸¹,12.18,¤u,,,1060120,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3684000,302463,,0.0,0,,RPPSMLQKKHMFFBF38CA
·s²ø°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«·s²ø°Ï´_¿³¸ô¤@¬q149«Ñ21§Ë1~30¸¹,33.23,¦í,,,1060102,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0751231,105.47,4,2,2,¦³,µL,7000000,66370,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPRQMLKLKHMFFBF87CA
¤­ªÑ°Ï,«Øª«,·s¥_¥«¤­ªÑ°Ï¤­ºÖ¸ô100«Ñ1~30¸¹,0.0,,,,1051025,¤g¦a0«Øª«1¨®¦ì1,¤K¼h,¤E¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1050830,302.16999999999996,4,2,3,¦³,¦³,10651040,35249,©Y¹D¥­­±,0.0,0,,RPVSMLKLKHMFFBF48CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤g«°°Ï¼s©úµó41«Ñ1~30¸¹,16.62,°Ó,,,1051201,¤g¦a1«Øª«1¨®¦ì0,¤T¼h¡A¶§¥x,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0681024,78.09,3,2,1,¦³,µL,6000000,76834,,0.0,0,¿Ë¤Í¥æ©ö,RPQPMLPJNHMFFAF38EA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ïº¡¥­µó2«Ñ1~30¸¹,43.07,¦í,,,1060101,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,¤T¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,,71.29,4,2,2,¦³,µL,6500000,91177,,0.0,0,¼W«Ø©Î¥e¥Î½d³ò:³»¼Ó.¨¾¤õ«Ñ¡CºM¾P­ì¥Ó³ø®Ñ§Ç¸¹A1FA10603030011,RPUPMLSJNHMFFAF09EA
¤¤©M°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤¤©M°Ï­û¤s¸ô143«Ñ40§Ë1~30¸¹,25.57,¦í,,,1060214,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0740914,93.7,9,1,8,¦³,µL,12200000,130203,,0.0,0,³»¼Ó¼W«Ø¤Î¶§¥x¥~±À,RPVPMLKKNHMFFHF98CA
¥Ã©M°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¥Ã©M°Ï«OºÖ¸ô¤G¬q91~120¸¹,15.13,¦í,,,1051126,¤g¦a1«Øª«1¨®¦ì1,¤Q¤­¼h,¤Q¤E¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1040915,183.75,3,2,2,¦³,¦³,24400000,162548,©Y¹D¾÷±ñ,40.1,1050000,,RPOQMLNJNHMFFHF58CA
¤T­«°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¤T­«°Ï¤¤¥¿«n¸ô211~240¸¹,8.7,¦í,,,1060121,¤g¦a1«Øª«1¨®¦ì1,¤Q¤C¼h,¤G¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1021206,103.6,2,2,1,¦³,¦³,13070000,125802,©Y¹D¾÷±ñ,10.04,1300000,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPOOMLNKLHMFFGF28DA
·s©±°Ï,¨®¦ì,·s¥_¥«·s©±°Ï¦w¿³¸ô91~120¸¹,2.07,¨ä¥L,,,1060125,¤g¦a0«Øª«0¨®¦ì1,,,¨ä¥L,,,,18.37,0,0,0,µL,¦³,2100000,,©Y¹D¥­­±,18.37,2100000,,RPPNMLLLMHMFFCF97EA
¤T®l°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤T®l°Ï¥Ã¦wµó61~90¸¹,34.75,¦í,,,1060214,¤g¦a1«Øª«1¨®¦ì0,¤@¼h¡AÃM¼Ó,¥|¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,,100.69,3,1,1,¦³,µL,9500000,94349,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPPOMLMKNHMFFIF58CA
¤T®l°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤T®l°Ï¤¤µØ¸ô31~60¸¹,13.26,°Ó,,,1060115,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,¤E¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0880109,148.51,4,2,2,¦³,¦³,13000000,87536,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPQOMLMKNHMFFIF68CA
Äª¬w°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«Äª¬w°Ï¥úµØ¸ô46«Ñ1~30¸¹,18.75,¦í,,,1060220,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,¤K¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0870122,118.69999999999999,2,1,1,¦³,¦³,10000000,84246,©Y¹D¥­­±,0.0,0,,RPQPMLLJNHMFFGF38CA
¤¤©M°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤¤©M°Ï­û¤s¸ô466«Ñ21§Ë31~60¸¹,156.95,¤u,,,1060125,¤g¦a1«Øª«1¨®¦ì0,¨£¨ä¥Lµn°O¨Æ¶µ¡A¤@¼h¡A¤G¼h¡A¤T¼h,¤T¼h,¼t¿ì,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0780121,416.15,0,0,0,µL,µL,35500000,85306,,0.0,0,,RPSPMLQKLHMFFHF09CA
Äª¬w°Ï,«Øª«,·s¥_¥«Äª¬w°Ï¥úµØ¸ô73«Ñ1~30¸¹,0.0,,,,1060224,¤g¦a0«Øª«1¨®¦ì0,¤@¼h¡A¤G¼h¡A¨£¨ä¥Lµn°O¨Æ¶µ,¤E¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1050805,78.95,0,0,0,µL,µL,4179000,52932,,0.0,0,«Ø°Ó»P¦a¥D¦X«Ø®×¡C,RPQPMLLKMHMFFGF38CA
Äª¬w°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«Äª¬w°Ïªø¿³¸ô181~210¸¹,12.83,°Ó,,,1020811,¤g¦a1«Øª«1¨®¦ì1,¤G¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1050818,108.66,2,1,1,¦³,¦³,12770000,123274,¶ð¦¡¨®¦ì,15.21,1250000,¹w°â«Î¶R½æ¡C,RPROMLLKMHMFFGF38CA
¤¤©M°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¤¤©M°Ï¤¤¤s¸ô¤T¬q91~120¸¹,10.78,¤u,,,1060122,¤g¦a1«Øª«1¨®¦ì1,¤E¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0971225,98.33000000000001,2,1,1,¦³,¦³,11100000,112885,©Y¹D¥­­±,28.16,0,,RPUOMLOLLHMFFHF09CA
